Grootheid.code;Grootheid.omschrijving;Parameter.code;Parameter.omschrijving;CAS-nummer;Eenheid.code;Hoedanigheid.code;Compartiment.code;KRWwatertype.code;AchtergrondWaarde;Waardebewerkingmethode.code;Begindatum;Einddatum;Voldoet;Voldoet niet;Bijzondere Omstandigheid
CONCTTE;(massa)Concentratie;Ni;nikkel;7440-02-0;ug/l;nf;OW;M30;;JGM;2002-11-02;;<=4.00;>4.00;AC-SALNTT
CONCTTE;(massa)Concentratie;Ni;nikkel;7440-02-0;ug/l;nf;OW;M31;;JGM;2002-11-02;;<=4.00;>4.00;AC-SALNTT
CONCTTE;(massa)Concentratie;BaP;benzo(a)pyreen;50-32-8;ug/l;NVT;OW;;;JGM;2002-11-02;;<=0.00017;>0.00017;
CONCTTE;(massa)Concentratie;alCl;alachloor;15972-60-8;ug/l;NVT;OW;;;JGM;2002-11-02;;<=0.3;>0.3;
CONCTTE;(massa)Concentratie;atzne;atrazine;1912-24-9;ug/l;NVT;OW;;;JGM;2002-11-02;;<=0.6;>0.6;
CONCTTE;(massa)Concentratie;Ben;benzeen;71-43-2;ug/l;NVT;OW;;;JGM;2002-11-02;;<=10;>10;
CONCTTE;(massa)Concentratie;Cd;cadmium;7440-43-9;ug/l;nf;OW;;0.08;JGM;2002-11-02;;<=1;>1;HH
CONCTTE;(massa)Concentratie;T4ClC1a;tetrachloormethaan (tetra);56-23-5;ug/l;NVT;OW;;;JGM;2002-11-02;;<=12;>12;
CONCTTE;(massa)Concentratie;sC10C13Clakn;som C10-C13-chlooralkanen;NVT;ug/l;NVT;OW;;;JGM;2002-11-02;;<=0.4;>0.4;
CONCTTE;(massa)Concentratie;Clfvfs;chloorfenvinfos;470-90-6;ug/l;NVT;OW;;;JGM;2002-11-02;;<=0.1;>0.1;
CONCTTE;(massa)Concentratie;C2yClprfs;ethylchloorpyrifos;2921-88-2;ug/l;NVT;OW;;;JGM;2002-11-02;;<=0.03;>0.03;
CONCTTE;(massa)Concentratie;sdrin4;som aldrin, dieldrin, endrin en isodrin;NVT;ug/l;NVT;OW;;;JGM;2002-11-02;;<=0.01;>0.01;
CONCTTE;(massa)Concentratie;sDDX4;som 2,4'-DDT, 4,4'-DDT, 4,4'-DDD en 4,4'-DDE;NVT;ug/l;NVT;OW;;;JGM;2002-11-02;;<=0.025;>0.025;
CONCTTE;(massa)Concentratie;44DDT;4,4'-dichloordifenyltrichloorethaan;50-29-3;ug/l;NVT;OW;;;JGM;2002-11-02;;<=0.01;>0.01;
CONCTTE;(massa)Concentratie;12DClC2a;1,2-dichloorethaan;107-06-2;ug/l;NVT;OW;;;JGM;2002-11-02;;<=10;>10;
CONCTTE;(massa)Concentratie;DClC1a;dichloormethaan;75-09-2;ug/l;NVT;OW;;;JGM;2002-11-02;;<=20;>20;
CONCTTE;(massa)Concentratie;DEHP;bis(2-ethylhexyl)ftalaat (DEHP);117-81-7;ug/l;NVT;OW;;;JGM;2002-11-02;;<=1.3;>1.3;
CONCTTE;(massa)Concentratie;Durn;diuron;330-54-1;ug/l;NVT;OW;;;JGM;2002-11-02;;<=0.2;>0.2;
CONCTTE;(massa)Concentratie;endsfn;endosulfan (som alfa- en beta-isomeer);115-29-7;ug/l;NVT;OW;;;JGM;2002-11-02;;<=0.005;>0.005;
CONCTTE;(massa)Concentratie;HCB;hexachloorbenzeen;118-74-1;ug/l;NVT;OW;;;JGM;2002-11-02;;<=0.000026;>0.000026;
CONCTTE;(massa)Concentratie;HxClbtDen;hexachloorbutadieen;87-68-3;ug/l;NVT;OW;;;JGM;2002-11-02;;<=0.00055;>0.00055;
CONCTTE;(massa)Concentratie;sHCH4;som a-, b-, c- en d-HCH;NVT;ug/l;NVT;OW;;;JGM;2002-11-02;;<=0.02;>0.02;
CONCTTE;(massa)Concentratie;iptrn;isoproturon;34123-59-6;ug/l;NVT;OW;;;JGM;2002-11-02;;<=0.3;>0.3;
CONCTTE;(massa)Concentratie;Hg;kwik;7439-97-6;ug/l;nf;OW;;;JGM;2002-11-02;;<=0.00007;>0.00007;
CONCTTE;(massa)Concentratie;Hg;kwik;7439-97-6;ug/l;nf;OW;M30;;JGM;2002-11-02;;<=0.000070;>0.000070;AC-SALNTT
CONCTTE;(massa)Concentratie;Hg;kwik;7439-97-6;ug/l;nf;OW;M31;;JGM;2002-11-02;;<=0.000070;>0.000070;AC-SALNTT
CONCTTE;(massa)Concentratie;s4C9yFol;som 4-nonylfenol-isomeren (vertakt);84852-15-3;ug/l;NVT;OW;;;JGM;2002-11-02;;<=0.3;>0.3;
CONCTTE;(massa)Concentratie;4ttC8yFol;4-tertiair-octylfenol;140-66-9;ug/l;NVT;OW;;;JGM;2002-11-02;;<=0.1;>0.1;
CONCTTE;(massa)Concentratie;PeClBen;pentachloorbenzeen;608-93-5;ug/l;NVT;OW;;;JGM;2002-11-02;;<=0.007;>0.007;
CONCTTE;(massa)Concentratie;PeClFol;pentachloorfenol;87-86-5;ug/l;NVT;OW;;;JGM;2002-11-02;;<=0.4;>0.4;
CONCTTE;(massa)Concentratie;simzne;simazine;122-34-9;ug/l;NVT;OW;;;JGM;2002-11-02;;<=1;>1;
CONCTTE;(massa)Concentratie;T4ClC2e;tetrachlooretheen (per);127-18-4;ug/l;NVT;OW;;;JGM;2002-11-02;;<=10;>10;
CONCTTE;(massa)Concentratie;TClC2e;trichlooretheen (tri);79-01-6;ug/l;NVT;OW;;;JGM;2002-11-02;;<=10;>10;
CONCTTE;(massa)Concentratie;TC4ySn;tributyltin (kation);36643-28-4;ug/l;NVT;OW;;;JGM;2002-11-02;;<=0.0002;>0.0002;
CONCTTE;(massa)Concentratie;TClBen;trichloorbenzeen;12002-48-1;ug/l;NVT;OW;;;JGM;2002-11-02;;<=0.4;>0.4;
CONCTTE;(massa)Concentratie;TClC1a;trichloormethaan (chloroform);67-66-3;ug/l;NVT;OW;;;JGM;2002-11-02;;<=2.5;>2.5;
CONCTTE;(massa)Concentratie;Tfrlne;trifluraline;1582-09-8;ug/l;NVT;OW;;;JGM;2002-11-02;;<=0.03;>0.03;
CONCTTE;(massa)Concentratie;slinvertPFOS;som lineair en vertakte perfluoroctylsulfonaat;NVT;ug/l;NVT;OW;;;MAX;2002-11-02;;<=36;>36;
CONCTTE;(massa)Concentratie;quinoxfn;quinoxyfen;124495-18-7;ug/l;NVT;OW;;;MAX;2002-11-02;;<=2.7;>2.7;
CONCTTE;(massa)Concentratie;acnfn;aclonifen;74070-46-5;ug/l;NVT;OW;;;MAX;2002-11-02;;<=0.12;>0.12;
CONCTTE;(massa)Concentratie;bfnx;bifenox;42576-02-3;ug/l;NVT;OW;;;MAX;2002-11-02;;<=0.04;>0.04;
CONCTTE;(massa)Concentratie;irgrl;irgarol;28159-98-0;ug/l;NVT;OW;;;MAX;2002-11-02;;<=0.016;>0.016;
CONCTTE;(massa)Concentratie;cypmtn;cypermethrin;52315-07-8;ug/l;NVT;OW;;;MAX;2002-11-02;;<=0.0006;>0.0006;
CONCTTE;(massa)Concentratie;DClvs;dichloorvos;62-73-7;ug/l;NVT;OW;;;MAX;2002-11-02;;<=0.0007;>0.0007;
CONCTTE;(massa)Concentratie;sabcHBCD;som a-, b- en c-HBCD;NVT;ug/l;NVT;OW;;;MAX;2002-11-02;;<=0.5;>0.5;
CONCTTE;(massa)Concentratie;sHpCl1;som heptachloor en cis-heptachloorepoxide;NVT;ug/l;NVT;OW;;;MAX;2002-11-02;;<=0.0003;>0.0003;
CONCTTE;(massa)Concentratie;terbtn;terbutrin;886-50-0;ug/l;NVT;OW;;;MAX;2002-11-02;;<=0.34;>0.34;
CONCTTE;(massa)Concentratie;Ant;antraceen;120-12-7;ug/l;NVT;OW;;;MAX;2002-11-02;;<=0.1;>0.1;
CONCTTE;(massa)Concentratie;sPBDE6;som PBDE28, 47, 99, 100, 153, 154;NVT;ug/l;NVT;OW;;;MAX;2002-11-02;;<=0.14;>0.14;
CONCTTE;(massa)Concentratie;Flu;fluorantheen;206-44-0;ug/l;NVT;OW;;;MAX;2002-11-02;;<=0.12;>0.12;
CONCTTE;(massa)Concentratie;Pb;lood;7439-92-1;ug/l;nf;OW;;0.2;MAX;2002-11-02;;<=14.2;>14.2;
CONCTTE;(massa)Concentratie;Pb;lood;7439-92-1;ug/l;nf;OW;M30;;MAX;2002-11-02;;<=14.00;>14.00;AC-SALNTT
CONCTTE;(massa)Concentratie;Pb;lood;7439-92-1;ug/l;nf;OW;M31;;MAX;2002-11-02;;<=14.00;>14.00;AC-SALNTT
CONCTTE;(massa)Concentratie;Naf;naftaleen;91-20-3;ug/l;NVT;OW;;;MAX;2002-11-02;;<=130;>130;
CONCTTE;(massa)Concentratie;Ni;nikkel;7440-02-0;ug/l;nf;OW;;1;MAX;2002-11-02;;<=35.0;>35.0;
CONCTTE;(massa)Concentratie;Ni;nikkel;7440-02-0;ug/l;nf;OW;M30;;MAX;2002-11-02;;<=34.00;>34.00;AC-SALNTT
CONCTTE;(massa)Concentratie;Ni;nikkel;7440-02-0;ug/l;nf;OW;M31;;MAX;2002-11-02;;<=34.00;>34.00;AC-SALNTT
CONCTTE;(massa)Concentratie;BaP;benzo(a)pyreen;50-32-8;ug/l;NVT;OW;;;MAX;2002-11-02;;<=0.27;>0.27;
CONCTTE;(massa)Concentratie;BbF;benzo(b)fluorantheen;205-99-2;ug/l;NVT;OW;;;MAX;2002-11-02;;<=0.017;>0.017;
CONCTTE;(massa)Concentratie;BkF;benzo(k)fluorantheen;207-08-9;ug/l;NVT;OW;;;MAX;2002-11-02;;<=0.017;>0.017;
CONCTTE;(massa)Concentratie;BghiPe;benzo(ghi)peryleen;191-24-2;ug/l;NVT;OW;;;MAX;2002-11-02;;<=0.0082;>0.0082;
CONCTTE;(massa)Concentratie;alCl;alachloor;15972-60-8;ug/l;NVT;OW;;;MAX;2002-11-02;;<=0.7;>0.7;
CONCTTE;(massa)Concentratie;atzne;atrazine;1912-24-9;ug/l;NVT;OW;;;MAX;2002-11-02;;<=2;>2;
CONCTTE;(massa)Concentratie;Ben;benzeen;71-43-2;ug/l;NVT;OW;;;MAX;2002-11-02;;<=50;>50;
CONCTTE;(massa)Concentratie;Cd;cadmium;7440-43-9;ug/l;nf;OW;;0.08;MAX;2002-11-02;;<=1;>1;HH
CONCTTE;(massa)Concentratie;sC10C13Clakn;som C10-C13-chlooralkanen;NVT;ug/l;NVT;OW;;;MAX;2002-11-02;;<=1.5;>1.5;
CONCTTE;(massa)Concentratie;Clfvfs;chloorfenvinfos;470-90-6;ug/l;NVT;OW;;;MAX;2002-11-02;;<=0.3;>0.3;
CONCTTE;(massa)Concentratie;C2yClprfs;ethylchloorpyrifos;2921-88-2;ug/l;NVT;OW;;;MAX;2002-11-02;;<=0.1;>0.1;
CONCTTE;(massa)Concentratie;Durn;diuron;330-54-1;ug/l;NVT;OW;;;MAX;2002-11-02;;<=1.8;>1.8;
CONCTTE;(massa)Concentratie;endsfn;endosulfan (som alfa- en beta-isomeer);115-29-7;ug/l;NVT;OW;;;MAX;2002-11-02;;<=0.01;>0.01;
CONCTTE;(massa)Concentratie;HCB;hexachloorbenzeen;118-74-1;ug/l;NVT;OW;;;MAX;2002-11-02;;<=0.05;>0.05;
CONCTTE;(massa)Concentratie;HxClbtDen;hexachloorbutadieen;87-68-3;ug/l;NVT;OW;;;MAX;2002-11-02;;<=0.6;>0.6;
CONCTTE;(massa)Concentratie;sHCH4;som a-, b-, c- en d-HCH;NVT;ug/l;NVT;OW;;;MAX;2002-11-02;;<=0.04;>0.04;
CONCTTE;(massa)Concentratie;iptrn;isoproturon;34123-59-6;ug/l;NVT;OW;;;MAX;2002-11-02;;<=1;>1;
CONCTTE;(massa)Concentratie;Hg;kwik;7439-97-6;ug/l;nf;OW;;0.01;MAX;2002-11-02;;<=0.08;>0.08;
CONCTTE;(massa)Concentratie;Hg;kwik;7439-97-6;ug/l;nf;OW;M30;;MAX;2002-11-02;;<=0.070;>0.070;AC-SALNTT
CONCTTE;(massa)Concentratie;Hg;kwik;7439-97-6;ug/l;nf;OW;M31;;MAX;2002-11-02;;<=0.070;>0.070;AC-SALNTT
CONCTTE;(massa)Concentratie;s4C9yFol;som 4-nonylfenol-isomeren (vertakt);84852-15-3;ug/l;NVT;OW;;;MAX;2002-11-02;;<=2;>2;
CONCTTE;(massa)Concentratie;PeClFol;pentachloorfenol;87-86-5;ug/l;NVT;OW;;;MAX;2002-11-02;;<=1;>1;
CONCTTE;(massa)Concentratie;simzne;simazine;122-34-9;ug/l;NVT;OW;;;MAX;2002-11-02;;<=4;>4;
CONCTTE;(massa)Concentratie;TC4ySn;tributyltin (kation);36643-28-4;ug/l;NVT;OW;;;MAX;2002-11-02;;<=0.0015;>0.0015;
MASSFTE;Massafractie;sPBDE6;som PBDE28, 47, 99, 100, 153, 154;NVT;ug/kg;NVT;OE;;;JGM;2002-11-02;;<=0.0085;>0.0085;BiotaVis
MASSFTE;Massafractie;Flu;fluorantheen;206-44-0;ug/kg;NVT;OE;;;JGM;2002-11-02;;<=30;>30;BiotaSchelpd
MASSFTE;Massafractie;HCB;hexachloorbenzeen;118-74-1;ug/kg;NVT;OE;;;JGM;2002-11-02;;<=10;>10;BiotaVis
MASSFTE;Massafractie;HxClbtDen;hexachloorbutadieen;87-68-3;ug/kg;NVT;OE;;;JGM;2002-11-02;;<=55;>55;BiotaVis
MASSFTE;Massafractie;Hg;kwik;7439-97-6;ug/kg;NVT;OE;;;JGM;2002-11-02;;<=20;>20;BiotaVis
MASSFTE;Massafractie;BaP;benzo(a)pyreen;50-32-8;ug/kg;NVT;OE;;;JGM;2002-11-02;;<=5;>5;BiotaSchelpd
MASSFTE;Massafractie;Dcfl;dicofol;115-32-2;ug/kg;NVT;OE;;;JGM;2002-11-02;;<=33;>33;BiotaVis
MASSFTE;Massafractie;slinvertPFOS;som lineair en vertakte perfluoroctylsulfonaat;NVT;ug/kg;NVT;OE;;;JGM;2002-11-02;;<=9.1;>9.1;BiotaVis
MASSFTE;Massafractie;sabcHBCD;som a-, b- en c-HBCD;NVT;ug/kg;NVT;OE;;;JGM;2002-11-02;;<=167;>167;BiotaVis
MASSFTE;Massafractie;sHpCl1;som heptachloor en cis-heptachloorepoxide;NVT;ug/kg;NVT;OE;;;JGM;2002-11-02;;<=0.0067;>0.0067;BiotaVis
MASSFTE;Massafractie;sDOxns29;som 29 dioxines (Bbk, 1-10-2010, als TEQ);NVT;ug/kg;TEQ;OE;;;JGM;2002-11-02;;<=0.0065;>0.0065;BiotaVis
