"ID_classificatie","bron","Grootheid.code","Grootheid.omschrijving","Parameter.code","Parameter.omschrijving","CAS.nummer","Eenheid.code","Hoedanigheid.code","Compartiment.code","KRWwatertype.code","AchtergrondWaarde","Waardebewerkingmethode.code","Begindatum","Einddatum","Bijzondere.Omstandigheid"
100800013,"KRW spec. verontr. stoffen SGBP 2022-2027 - zoet","CONCTTE","(massa)Concentratie","4ClAn","4-chlooraniline","106-47-8","ug/l","NVT","OW","",NA,"JGM","2002-11-02",NA,""
100800014,"KRW spec. verontr. stoffen SGBP 2022-2027 - zoet","CONCTTE","(massa)Concentratie","4ClAn","4-chlooraniline","106-47-8","ug/l","NVT","OW","",NA,"MAX","2002-11-02",NA,""
100800015,"KRW spec. verontr. stoffen SGBP 2022-2027 - zoet","CONCTTE","(massa)Concentratie","DC4ySn","dibutyltin (kation)","14488-53-0","ug/l","NVT","OW","",NA,"JGM","2002-11-02",NA,""
100800016,"KRW spec. verontr. stoffen SGBP 2022-2027 - zoet","CONCTTE","(massa)Concentratie","DC4ySn","dibutyltin (kation)","14488-53-0","ug/l","NVT","OW","",NA,"MAX","2002-11-02",NA,""
100800017,"KRW spec. verontr. stoffen SGBP 2022-2027 - zoet","CONCTTE","(massa)Concentratie","12DClC3a","1,2-dichloorpropaan","78-87-5","ug/l","NVT","OW","",NA,"JGM","2002-11-02",NA,""
100800018,"KRW spec. verontr. stoffen SGBP 2022-2027 - zoet","CONCTTE","(massa)Concentratie","12DClC3a","1,2-dichloorpropaan","78-87-5","ug/l","NVT","OW","",NA,"MAX","2002-11-02",NA,""
100800019,"KRW spec. verontr. stoffen SGBP 2022-2027 - zoet","CONCTTE","(massa)Concentratie","DClppP","dichloorprop-P","15165-67-0","ug/l","NVT","OW","",NA,"JGM","2002-11-02",NA,""
100800020,"KRW spec. verontr. stoffen SGBP 2022-2027 - zoet","CONCTTE","(massa)Concentratie","DClppP","dichloorprop-P","15165-67-0","ug/l","NVT","OW","",NA,"MAX","2002-11-02",NA,""
100800021,"KRW spec. verontr. stoffen SGBP 2022-2027 - zoet","CONCTTE","(massa)Concentratie","C2yBen","ethylbenzeen","100-41-4","ug/l","NVT","OW","",NA,"JGM","2002-11-02",NA,""
100800022,"KRW spec. verontr. stoffen SGBP 2022-2027 - zoet","CONCTTE","(massa)Concentratie","C2yBen","ethylbenzeen","100-41-4","ug/l","NVT","OW","",NA,"MAX","2002-11-02",NA,""
100800023,"KRW spec. verontr. stoffen SGBP 2022-2027 - zoet","CONCTTE","(massa)Concentratie","Dmtat","dimethoaat","60-51-5","ug/l","NVT","OW","",NA,"JGM","2002-11-02",NA,""
100800024,"KRW spec. verontr. stoffen SGBP 2022-2027 - zoet","CONCTTE","(massa)Concentratie","Dmtat","dimethoaat","60-51-5","ug/l","NVT","OW","",NA,"MAX","2002-11-02",NA,""
100800025,"KRW spec. verontr. stoffen SGBP 2022-2027 - zoet","CONCTTE","(massa)Concentratie","feNO2ton","fenitrothion","122-14-5","ug/l","NVT","OW","",NA,"JGM","2002-11-02",NA,""
100800026,"KRW spec. verontr. stoffen SGBP 2022-2027 - zoet","CONCTTE","(massa)Concentratie","fenton","fenthion","55-38-9","ug/l","NVT","OW","",NA,"JGM","2002-11-02",NA,""
100800027,"KRW spec. verontr. stoffen SGBP 2022-2027 - zoet","CONCTTE","(massa)Concentratie","linrn","linuron","330-55-2","ug/l","NVT","OW","",NA,"JGM","2002-11-02",NA,""
100800028,"KRW spec. verontr. stoffen SGBP 2022-2027 - zoet","CONCTTE","(massa)Concentratie","linrn","linuron","330-55-2","ug/l","NVT","OW","",NA,"MAX","2002-11-02",NA,""
100800029,"KRW spec. verontr. stoffen SGBP 2022-2027 - zoet","CONCTTE","(massa)Concentratie","malton","malathion","121-75-5","ug/l","NVT","OW","",NA,"JGM","2002-11-02",NA,""
100800030,"KRW spec. verontr. stoffen SGBP 2022-2027 - zoet","CONCTTE","(massa)Concentratie","MCPA","2-methyl-4-chloorfenoxyazijnzuur","94-74-6","ug/l","NVT","OW","",NA,"JGM","2002-11-02",NA,""
100800031,"KRW spec. verontr. stoffen SGBP 2022-2027 - zoet","CONCTTE","(massa)Concentratie","MCPA","2-methyl-4-chloorfenoxyazijnzuur","94-74-6","ug/l","NVT","OW","",NA,"MAX","2002-11-02",NA,""
100800032,"KRW spec. verontr. stoffen SGBP 2022-2027 - zoet","CONCTTE","(massa)Concentratie","mecppP","mecoprop-P","16484-77-8","ug/l","NVT","OW","",NA,"JGM","2002-11-02",NA,""
100800033,"KRW spec. verontr. stoffen SGBP 2022-2027 - zoet","CONCTTE","(massa)Concentratie","mecppP","mecoprop-P","16484-77-8","ug/l","NVT","OW","",NA,"MAX","2002-11-02",NA,""
100800034,"KRW spec. verontr. stoffen SGBP 2022-2027 - zoet","CONCTTE","(massa)Concentratie","mevfs","mevinfos","7786-34-7","ug/l","NVT","OW","",NA,"JGM","2002-11-02",NA,""
100800035,"KRW spec. verontr. stoffen SGBP 2022-2027 - zoet","CONCTTE","(massa)Concentratie","mevfs","mevinfos","7786-34-7","ug/l","NVT","OW","",NA,"MAX","2002-11-02",NA,""
100800036,"KRW spec. verontr. stoffen SGBP 2022-2027 - zoet","CONCTTE","(massa)Concentratie","Mlnrn","monolinuron","1746-81-2","ug/l","NVT","OW","",NA,"JGM","2002-11-02",NA,""
100800037,"KRW spec. verontr. stoffen SGBP 2022-2027 - zoet","CONCTTE","(massa)Concentratie","Mlnrn","monolinuron","1746-81-2","ug/l","NVT","OW","",NA,"MAX","2002-11-02",NA,""
100800038,"KRW spec. verontr. stoffen SGBP 2022-2027 - zoet","CONCTTE","(massa)Concentratie","omtat","omethoaat","1113-02-6","ug/l","NVT","OW","",NA,"JGM","2002-11-02",NA,""
100800039,"KRW spec. verontr. stoffen SGBP 2022-2027 - zoet","CONCTTE","(massa)Concentratie","BaA","benzo(a)antraceen","56-55-3","ug/l","NVT","OW","",NA,"JGM","2002-11-02",NA,""
100800040,"KRW spec. verontr. stoffen SGBP 2022-2027 - zoet","CONCTTE","(massa)Concentratie","BaA","benzo(a)antraceen","56-55-3","ug/l","NVT","OW","",NA,"MAX","2002-11-02",NA,""
100800041,"KRW spec. verontr. stoffen SGBP 2022-2027 - zoet","CONCTTE","(massa)Concentratie","Chr","chryseen","218-01-9","ug/l","NVT","OW","",NA,"JGM","2002-11-02",NA,""
100800042,"KRW spec. verontr. stoffen SGBP 2022-2027 - zoet","CONCTTE","(massa)Concentratie","Chr","chryseen","218-01-9","ug/l","NVT","OW","",NA,"MAX","2002-11-02",NA,""
100800043,"KRW spec. verontr. stoffen SGBP 2022-2027 - zoet","CONCTTE","(massa)Concentratie","Fen","fenantreen","85-01-8","ug/l","NVT","OW","",NA,"JGM","2002-11-02",NA,""
100800044,"KRW spec. verontr. stoffen SGBP 2022-2027 - zoet","CONCTTE","(massa)Concentratie","Fen","fenantreen","85-01-8","ug/l","NVT","OW","",NA,"MAX","2002-11-02",NA,""
100800045,"KRW spec. verontr. stoffen SGBP 2022-2027 - zoet","CONCTTE","(massa)Concentratie","C2yprton","ethylparathion","56-38-2","ug/l","NVT","OW","",NA,"JGM","2002-11-02",NA,""
100800046,"KRW spec. verontr. stoffen SGBP 2022-2027 - zoet","CONCTTE","(massa)Concentratie","C1yprton","methylparathion","298-00-0","ug/l","NVT","OW","",NA,"JGM","2002-11-02",NA,""
100800047,"KRW spec. verontr. stoffen SGBP 2022-2027 - zoet","CONCTTE","(massa)Concentratie","Clidzn","chloridazon","1698-60-8","ug/l","NVT","OW","",NA,"JGM","2002-11-02",NA,""
100800048,"KRW spec. verontr. stoffen SGBP 2022-2027 - zoet","CONCTTE","(massa)Concentratie","Clidzn","chloridazon","1698-60-8","ug/l","NVT","OW","",NA,"MAX","2002-11-02",NA,""
100800049,"KRW spec. verontr. stoffen SGBP 2022-2027 - zoet","CONCTTE","(massa)Concentratie","Tazfs","triazofos","24017-47-8","ug/l","NVT","OW","",NA,"JGM","2002-11-02",NA,""
100800050,"KRW spec. verontr. stoffen SGBP 2022-2027 - zoet","CONCTTE","(massa)Concentratie","Tazfs","triazofos","24017-47-8","ug/l","NVT","OW","",NA,"MAX","2002-11-02",NA,""
100800051,"KRW spec. verontr. stoffen SGBP 2022-2027 - zoet","CONCTTE","(massa)Concentratie","TC4yPO4","tributylfosfaat","126-73-8","ug/l","NVT","OW","",NA,"JGM","2002-11-02",NA,""
100800052,"KRW spec. verontr. stoffen SGBP 2022-2027 - zoet","CONCTTE","(massa)Concentratie","TC4yPO4","tributylfosfaat","126-73-8","ug/l","NVT","OW","",NA,"MAX","2002-11-02",NA,""
100800053,"KRW spec. verontr. stoffen SGBP 2022-2027 - zoet","CONCTTE","(massa)Concentratie","TClfn","trichloorfon","52-68-6","ug/l","NVT","OW","",NA,"JGM","2002-11-02",NA,""
100800054,"KRW spec. verontr. stoffen SGBP 2022-2027 - zoet","CONCTTE","(massa)Concentratie","TFySn","trifenyltin (kation)","668-34-8","ug/l","NVT","OW","",NA,"JGM","2002-11-02",NA,""
100800055,"KRW spec. verontr. stoffen SGBP 2022-2027 - zoet","CONCTTE","(massa)Concentratie","TFySn","trifenyltin (kation)","668-34-8","ug/l","NVT","OW","",NA,"MAX","2002-11-02",NA,""
100800056,"KRW spec. verontr. stoffen SGBP 2022-2027 - zoet","CONCTTE","(massa)Concentratie","sxyln","som xyleen-isomeren","NVT","ug/l","NVT","OW","",NA,"JGM","2002-11-02",NA,""
100800057,"KRW spec. verontr. stoffen SGBP 2022-2027 - zoet","CONCTTE","(massa)Concentratie","sxyln","som xyleen-isomeren","NVT","ug/l","NVT","OW","",NA,"MAX","2002-11-02",NA,""
100800058,"KRW spec. verontr. stoffen SGBP 2022-2027 - zoet","CONCTTE","(massa)Concentratie","bentzn","bentazon","25057-89-0","ug/l","NVT","OW","",NA,"JGM","2002-11-02",NA,""
100800059,"KRW spec. verontr. stoffen SGBP 2022-2027 - zoet","CONCTTE","(massa)Concentratie","bentzn","bentazon","25057-89-0","ug/l","NVT","OW","",NA,"MAX","2002-11-02",NA,""
100800060,"KRW spec. verontr. stoffen SGBP 2022-2027 - zoet","CONCTTE","(massa)Concentratie","Ti","titaan","7440-32-6","ug/l","nf","OW","",NA,"JGM","2002-11-02",NA,""
100800061,"KRW spec. verontr. stoffen SGBP 2022-2027 - zoet","CONCTTE","(massa)Concentratie","B","boor","7440-42-8","ug/l","nf","OW","",27,"JGM","2002-11-02",NA,""
100800062,"KRW spec. verontr. stoffen SGBP 2022-2027 - zoet","CONCTTE","(massa)Concentratie","B","boor","7440-42-8","ug/l","nf","OW","M30",NA,"JGM","2002-11-02",NA,"AC-SALNTT"
100800063,"KRW spec. verontr. stoffen SGBP 2022-2027 - zoet","CONCTTE","(massa)Concentratie","B","boor","7440-42-8","ug/l","nf","OW","M31",NA,"JGM","2002-11-02",NA,"AC-SALNTT"
100800064,"KRW spec. verontr. stoffen SGBP 2022-2027 - zoet","CONCTTE","(massa)Concentratie","B","boor","7440-42-8","ug/l","nf","OW","",27,"MAX","2002-11-02",NA,""
100800065,"KRW spec. verontr. stoffen SGBP 2022-2027 - zoet","CONCTTE","(massa)Concentratie","B","boor","7440-42-8","ug/l","nf","OW","M30",NA,"MAX","2002-11-02",NA,"AC-SALNTT"
100800066,"KRW spec. verontr. stoffen SGBP 2022-2027 - zoet","CONCTTE","(massa)Concentratie","B","boor","7440-42-8","ug/l","nf","OW","M31",NA,"MAX","2002-11-02",NA,"AC-SALNTT"
100800067,"KRW spec. verontr. stoffen SGBP 2022-2027 - zoet","CONCTTE","(massa)Concentratie","U","uranium","7440-61-1","ug/l","nf","OW","",0.8,"JGM","2002-11-02",NA,""
100800068,"KRW spec. verontr. stoffen SGBP 2022-2027 - zoet","CONCTTE","(massa)Concentratie","U","uranium","7440-61-1","ug/l","nf","OW","",0.8,"MAX","2002-11-02",NA,""
100800069,"KRW spec. verontr. stoffen SGBP 2022-2027 - zoet","CONCTTE","(massa)Concentratie","U","uranium","7440-61-1","ug/l","nf","OW","M30",NA,"JGM","2002-11-02",NA,"AC-SALNTT"
100800070,"KRW spec. verontr. stoffen SGBP 2022-2027 - zoet","CONCTTE","(massa)Concentratie","U","uranium","7440-61-1","ug/l","nf","OW","M31",NA,"JGM","2002-11-02",NA,"AC-SALNTT"
100800071,"KRW spec. verontr. stoffen SGBP 2022-2027 - zoet","CONCTTE","(massa)Concentratie","U","uranium","7440-61-1","ug/l","nf","OW","M30",NA,"MAX","2002-11-02",NA,"AC-SALNTT"
100800072,"KRW spec. verontr. stoffen SGBP 2022-2027 - zoet","CONCTTE","(massa)Concentratie","U","uranium","7440-61-1","ug/l","nf","OW","M31",NA,"MAX","2002-11-02",NA,"AC-SALNTT"
100800073,"KRW spec. verontr. stoffen SGBP 2022-2027 - zoet","CONCTTE","(massa)Concentratie","Te","tellurium","13494-80-9","ug/l","nf","OW","",NA,"JGM","2002-11-02",NA,""
100800074,"KRW spec. verontr. stoffen SGBP 2022-2027 - zoet","CONCTTE","(massa)Concentratie","Ag","zilver","7440-22-4","ug/l","nf","OW","",NA,"JGM","2002-11-02",NA,""
100800075,"KRW spec. verontr. stoffen SGBP 2022-2027 - zoet","CONCTTE","(massa)Concentratie","Ag","zilver","7440-22-4","ug/l","nf","OW","",NA,"MAX","2002-11-02",NA,""
100800076,"KRW spec. verontr. stoffen SGBP 2022-2027 - zoet","CONCTTE","(massa)Concentratie","OcC1yccT4slx","octamethylcyclotetrasiloxaan","556-67-2","ug/l","NVT","OW","",NA,"JGM","2002-11-02",NA,""
100800077,"KRW spec. verontr. stoffen SGBP 2022-2027 - zoet","CONCTTE","(massa)Concentratie","abmtne","abamectine","71751-41-2","ug/l","NVT","OW","",NA,"JGM","2002-11-02",NA,""
100800078,"KRW spec. verontr. stoffen SGBP 2022-2027 - zoet","CONCTTE","(massa)Concentratie","abmtne","abamectine","71751-41-2","ug/l","NVT","OW","",NA,"MAX","2002-11-02",NA,""
100800079,"KRW spec. verontr. stoffen SGBP 2022-2027 - zoet","CONCTTE","(massa)Concentratie","NH4","ammonium","14798-03-9","mg/l","N","OW","",NA,"JGM","2002-11-02",NA,"NH4-pH-T"
100800080,"KRW spec. verontr. stoffen SGBP 2022-2027 - zoet","CONCTTE","(massa)Concentratie","NH4","ammonium","14798-03-9","mg/l","N","OW","",NA,"MAX","2002-11-02",NA,"NH4-pH-T"
100800081,"KRW spec. verontr. stoffen SGBP 2022-2027 - zoet","CONCTTE","(massa)Concentratie","NH4","ammonium","14798-03-9","mg/l","Nnf","OW","",NA,"JGM","2002-11-02",NA,"NH4-pH-T"
100800082,"KRW spec. verontr. stoffen SGBP 2022-2027 - zoet","CONCTTE","(massa)Concentratie","NH4","ammonium","14798-03-9","mg/l","Nnf","OW","",NA,"MAX","2002-11-02",NA,"NH4-pH-T"
100800083,"KRW spec. verontr. stoffen SGBP 2022-2027 - zoet","CONCTTE","(massa)Concentratie","Ba","barium","7440-39-3","ug/l","nf","OW","",NA,"JGM","2002-11-02",NA,""
100800084,"KRW spec. verontr. stoffen SGBP 2022-2027 - zoet","CONCTTE","(massa)Concentratie","Ba","barium","7440-39-3","ug/l","nf","OW","",22,"MAX","2002-11-02",NA,""
100800085,"KRW spec. verontr. stoffen SGBP 2022-2027 - zoet","CONCTTE","(massa)Concentratie","Ba","barium","7440-39-3","ug/l","nf","OW","M30",NA,"MAX","2002-11-02",NA,"AC-SALNTT"
100800086,"KRW spec. verontr. stoffen SGBP 2022-2027 - zoet","CONCTTE","(massa)Concentratie","Ba","barium","7440-39-3","ug/l","nf","OW","M31",NA,"MAX","2002-11-02",NA,"AC-SALNTT"
100800087,"KRW spec. verontr. stoffen SGBP 2022-2027 - zoet","CONCTTE","(massa)Concentratie","Be","beryllium","7440-41-7","ug/l","nf","OW","",0.02,"JGM","2002-11-02",NA,""
100800088,"KRW spec. verontr. stoffen SGBP 2022-2027 - zoet","CONCTTE","(massa)Concentratie","Be","beryllium","7440-41-7","ug/l","nf","OW","",0.02,"MAX","2002-11-02",NA,""
100800089,"KRW spec. verontr. stoffen SGBP 2022-2027 - zoet","CONCTTE","(massa)Concentratie","C1ymsfrn","methyl-metsulfuron","74223-64-6","ug/l","NVT","OW","",NA,"JGM","2002-11-02",NA,""
100800090,"KRW spec. verontr. stoffen SGBP 2022-2027 - zoet","CONCTTE","(massa)Concentratie","C1ymsfrn","methyl-metsulfuron","74223-64-6","ug/l","NVT","OW","",NA,"MAX","2002-11-02",NA,""
100800091,"KRW spec. verontr. stoffen SGBP 2022-2027 - zoet","CONCTTE","(massa)Concentratie","C1yprmfs","methylpirimifos","29232-93-7","ug/l","NVT","OW","",NA,"JGM","2002-11-02",NA,""
100800092,"KRW spec. verontr. stoffen SGBP 2022-2027 - zoet","CONCTTE","(massa)Concentratie","C1yprmfs","methylpirimifos","29232-93-7","ug/l","NVT","OW","",NA,"MAX","2002-11-02",NA,""
100800093,"KRW spec. verontr. stoffen SGBP 2022-2027 - zoet","CONCTTE","(massa)Concentratie","captn","captan","133-06-2","ug/l","NVT","OW","",NA,"JGM","2002-11-02",NA,""
100800094,"KRW spec. verontr. stoffen SGBP 2022-2027 - zoet","CONCTTE","(massa)Concentratie","captn","captan","133-06-2","ug/l","NVT","OW","",NA,"MAX","2002-11-02",NA,""
100800095,"KRW spec. verontr. stoffen SGBP 2022-2027 - zoet","CONCTTE","(massa)Concentratie","carbdzm","carbendazim","10605-21-7","ug/l","NVT","OW","",NA,"JGM","2002-11-02",NA,""
100800096,"KRW spec. verontr. stoffen SGBP 2022-2027 - zoet","CONCTTE","(massa)Concentratie","carbdzm","carbendazim","10605-21-7","ug/l","NVT","OW","",NA,"MAX","2002-11-02",NA,""
100800097,"KRW spec. verontr. stoffen SGBP 2022-2027 - zoet","CONCTTE","(massa)Concentratie","Clpfm","chloorprofam","101-21-3","ug/l","NVT","OW","",NA,"JGM","2002-11-02",NA,""
100800098,"KRW spec. verontr. stoffen SGBP 2022-2027 - zoet","CONCTTE","(massa)Concentratie","Clpfm","chloorprofam","101-21-3","ug/l","NVT","OW","",NA,"MAX","2002-11-02",NA,""
100800099,"KRW spec. verontr. stoffen SGBP 2022-2027 - zoet","CONCTTE","(massa)Concentratie","Cltlrn","chloortoluron","15545-48-9","ug/l","NVT","OW","",NA,"JGM","2002-11-02",NA,""
100800100,"KRW spec. verontr. stoffen SGBP 2022-2027 - zoet","CONCTTE","(massa)Concentratie","Cltlrn","chloortoluron","15545-48-9","ug/l","NVT","OW","",NA,"MAX","2002-11-02",NA,""
100800101,"KRW spec. verontr. stoffen SGBP 2022-2027 - zoet","CONCTTE","(massa)Concentratie","Co","kobalt","7440-48-4","ug/l","nf","OW","",NA,"JGM","2002-11-02",NA,""
100800102,"KRW spec. verontr. stoffen SGBP 2022-2027 - zoet","CONCTTE","(massa)Concentratie","Co","kobalt","7440-48-4","ug/l","nf","OW","",0.1,"MAX","2002-11-02",NA,""
100800103,"KRW spec. verontr. stoffen SGBP 2022-2027 - zoet","CONCTTE","(massa)Concentratie","Co","kobalt","7440-48-4","ug/l","nf","OW","M30",NA,"MAX","2002-11-02",NA,"AC-SALNTT"
100800104,"KRW spec. verontr. stoffen SGBP 2022-2027 - zoet","CONCTTE","(massa)Concentratie","Co","kobalt","7440-48-4","ug/l","nf","OW","M31",NA,"MAX","2002-11-02",NA,"AC-SALNTT"
100800105,"KRW spec. verontr. stoffen SGBP 2022-2027 - zoet","CONCTTE","(massa)Concentratie","Cr","chroom","7440-47-3","ug/l","nf","OW","",0.2,"JGM","2002-11-02",NA,""
100800106,"KRW spec. verontr. stoffen SGBP 2022-2027 - zoet","CONCTTE","(massa)Concentratie","Cu","koper","7440-50-8","ug/l","nf","OW","",NA,"JGM","2002-11-02",NA,""
100800107,"KRW spec. verontr. stoffen SGBP 2022-2027 - zoet","CONCTTE","(massa)Concentratie","Cu","koper","7440-50-8","ug/l","nf","OW","",NA,"JGM","2002-11-02",NA,"BLM"
100800108,"KRW spec. verontr. stoffen SGBP 2022-2027 - zoet","CONCTTE","(massa)Concentratie","Cu","koper","7440-50-8","ug/l","nf","OW","M30",NA,"JGM","2002-11-02",NA,"AC-SALNTT"
100800109,"KRW spec. verontr. stoffen SGBP 2022-2027 - zoet","CONCTTE","(massa)Concentratie","Cu","koper","7440-50-8","ug/l","nf","OW","M31",NA,"JGM","2002-11-02",NA,"AC-SALNTT"
100800110,"KRW spec. verontr. stoffen SGBP 2022-2027 - zoet","CONCTTE","(massa)Concentratie","Daznn","diazinon","333-41-5","ug/l","NVT","OW","",NA,"JGM","2002-11-02",NA,""
100800111,"KRW spec. verontr. stoffen SGBP 2022-2027 - zoet","CONCTTE","(massa)Concentratie","dmtn","deltamethrin","52918-63-5","ug/l","NVT","OW","",NA,"JGM","2002-11-02",NA,""
100800112,"KRW spec. verontr. stoffen SGBP 2022-2027 - zoet","CONCTTE","(massa)Concentratie","dmtn","deltamethrin","52918-63-5","ug/l","NVT","OW","",NA,"MAX","2002-11-02",NA,""
100800113,"KRW spec. verontr. stoffen SGBP 2022-2027 - zoet","CONCTTE","(massa)Concentratie","DmtnmdP","dimethenamid-P","163515-14-8","ug/l","NVT","OW","",NA,"JGM","2002-11-02",NA,""
100800114,"KRW spec. verontr. stoffen SGBP 2022-2027 - zoet","CONCTTE","(massa)Concentratie","DmtnmdP","dimethenamid-P","163515-14-8","ug/l","NVT","OW","",NA,"MAX","2002-11-02",NA,""
100800115,"KRW spec. verontr. stoffen SGBP 2022-2027 - zoet","CONCTTE","(massa)Concentratie","esfvlrt","esfenvaleraat","66230-04-4","ng/l","NVT","OW","",NA,"JGM","2002-11-02",NA,""
100800116,"KRW spec. verontr. stoffen SGBP 2022-2027 - zoet","CONCTTE","(massa)Concentratie","esfvlrt","esfenvaleraat","66230-04-4","ng/l","NVT","OW","",NA,"MAX","2002-11-02",NA,""
100800117,"KRW spec. verontr. stoffen SGBP 2022-2027 - zoet","CONCTTE","(massa)Concentratie","fenamfs","fenamifos","22224-92-6","ug/l","NVT","OW","",NA,"JGM","2002-11-02",NA,""
100800118,"KRW spec. verontr. stoffen SGBP 2022-2027 - zoet","CONCTTE","(massa)Concentratie","fenamfs","fenamifos","22224-92-6","ug/l","NVT","OW","",NA,"MAX","2002-11-02",NA,""
100800119,"KRW spec. verontr. stoffen SGBP 2022-2027 - zoet","CONCTTE","(massa)Concentratie","fenOxcb","fenoxycarb","72490-01-8","ug/l","NVT","OW","",NA,"JGM","2002-11-02",NA,""
100800120,"KRW spec. verontr. stoffen SGBP 2022-2027 - zoet","CONCTTE","(massa)Concentratie","fenOxcb","fenoxycarb","72490-01-8","ug/l","NVT","OW","",NA,"MAX","2002-11-02",NA,""
100800121,"KRW spec. verontr. stoffen SGBP 2022-2027 - zoet","CONCTTE","(massa)Concentratie","heptnfs","heptenofos","23560-59-0","ug/l","NVT","OW","",NA,"JGM","2002-11-02",NA,""
100800122,"KRW spec. verontr. stoffen SGBP 2022-2027 - zoet","CONCTTE","(massa)Concentratie","heptnfs","heptenofos","23560-59-0","ug/l","NVT","OW","",NA,"MAX","2002-11-02",NA,""
100800123,"KRW spec. verontr. stoffen SGBP 2022-2027 - zoet","CONCTTE","(massa)Concentratie","imdcpd","imidacloprid","138261-41-3","ug/l","NVT","OW","",NA,"JGM","2002-11-02",NA,""
100800124,"KRW spec. verontr. stoffen SGBP 2022-2027 - zoet","CONCTTE","(massa)Concentratie","imdcpd","imidacloprid","138261-41-3","ug/l","NVT","OW","",NA,"MAX","2002-11-02",NA,""
100800125,"KRW spec. verontr. stoffen SGBP 2022-2027 - zoet","CONCTTE","(massa)Concentratie","lcyhltn","lambda-cyhalothrin","91465-08-6","ug/l","NVT","OW","",NA,"JGM","2002-11-02",NA,""
100800126,"KRW spec. verontr. stoffen SGBP 2022-2027 - zoet","CONCTTE","(massa)Concentratie","lcyhltn","lambda-cyhalothrin","91465-08-6","ug/l","NVT","OW","",NA,"MAX","2002-11-02",NA,""
100800127,"KRW spec. verontr. stoffen SGBP 2022-2027 - zoet","CONCTTE","(massa)Concentratie","metbtazrn","metabenzthiazuron","18691-97-9","ug/l","NVT","OW","",NA,"JGM","2002-11-02",NA,""
100800128,"KRW spec. verontr. stoffen SGBP 2022-2027 - zoet","CONCTTE","(massa)Concentratie","metlCl","metolachloor","51218-45-2","ug/l","NVT","OW","",NA,"JGM","2002-11-02",NA,""
100800129,"KRW spec. verontr. stoffen SGBP 2022-2027 - zoet","CONCTTE","(massa)Concentratie","metlCl","metolachloor","51218-45-2","ug/l","NVT","OW","",NA,"MAX","2002-11-02",NA,""
100800130,"KRW spec. verontr. stoffen SGBP 2022-2027 - zoet","CONCTTE","(massa)Concentratie","Mo","molybdeen","7439-98-7","ug/l","nf","OW","",NA,"JGM","2002-11-02",NA,""
